order_id,date,time
1,2015-01-01,11:38
2,2015-01-01,11:57
3,2015-01-01,12:12
4,2015-01-01,12:16
5,2015-01-01,12:21
6,2015-01-01,12:29
7,2015-01-01,12:50
8,2015-01-01,12:51
9,2015-01-01,12:52
10,2015-01-01,13:00
11,2015-01-01,13:02
12,2015-01-01,13:04
13,2015-01-01,13:11
14,2015-01-01,13:14
15,2015-01-01,13:33
16,2015-01-01,13:34
17,2015-01-01,13:53
18,2015-01-01,13:57
19,2015-01-01,13:59
20,2015-01-01,14:03
21,2015-01-01,14:14
22,2015-01-01,14:16
23,2015-01-01,14:19
24,2015-01-01,14:23
25,2015-01-01,14:44
26,2015-01-01,14:54
27,2015-01-01,15:11
28,2015-01-01,15:35
29,2015-01-01,15:41
30,2015-01-01,15:41
31,2015-01-01,15:50
32,2015-01-01,15:53
33,2015-01-01,15:54
34,2015-01-01,16:21
35,2015-01-01,16:32
36,2015-01-01,16:54
37,2015-01-01,16:56
38,2015-01-01,17:03
39,2015-01-01,17:07
40,2015-01-01,17:14
41,2015-01-01,17:15
42,2015-01-01,17:28
43,2015-01-01,17:38
44,2015-01-01,17:54
45,2015-01-01,17:55
46,2015-01-01,18:25
47,2015-01-01,18:26
48,2015-01-01,18:26
49,2015-01-01,18:33
50,2015-01-01,18:41
51,2015-01-01,18:48
52,2015-01-01,18:53
53,2015-01-01,18:54
54,2015-01-01,19:01
55,2015-01-01,19:03
56,2015-01-01,19:07
57,2015-01-01,19:10
58,2015-01-01,19:30
59,2015-01-01,19:40
60,2015-01-01,20:05
61,2015-01-01,20:08
62,2015-01-01,20:50
63,2015-01-01,20:51
64,2015-01-01,20:52
65,2015-01-01,21:16
66,2015-01-01,21:47
67,2015-01-01,22:03
68,2015-01-01,22:07
69,2015-01-01,22:12
70,2015-01-02,11:38
71,2015-01-02,11:40
72,2015-01-02,11:57
73,2015-01-02,11:58
74,2015-01-02,12:01
75,2015-01-02,12:10
76,2015-01-02,12:21
77,2015-01-02,12:22
78,2015-01-02,12:28
79,2015-01-02,12:29
80,2015-01-02,12:35
81,2015-01-02,12:40
82,2015-01-02,12:45
83,2015-01-02,12:53
84,2015-01-02,13:13
85,2015-01-02,13:34
86,2015-01-02,13:40
87,2015-01-02,14:01
88,2015-01-02,14:10
89,2015-01-02,14:30
90,2015-01-02,15:08
91,2015-01-02,15:14
92,2015-01-02,15:17
93,2015-01-02,15:29
94,2015-01-02,16:17
95,2015-01-02,16:18
96,2015-01-02,16:21
97,2015-01-02,16:45
98,2015-01-02,17:18
99,2015-01-02,17:45
100,2015-01-02,17:46
101,2015-01-02,17:51
102,2015-01-02,17:54
103,2015-01-02,18:02
104,2015-01-02,18:02
105,2015-01-02,18:12
106,2015-01-02,18:12
107,2015-01-02,18:25
108,2015-01-02,18:25
109,2015-01-02,18:27
110,2015-01-02,18:36
111,2015-01-02,18:38
112,2015-01-02,18:41
113,2015-01-02,18:50
114,2015-01-02,18:59
115,2015-01-02,19:05
116,2015-01-02,19:18
117,2015-01-02,19:23
118,2015-01-02,19:26
119,2015-01-02,19:32
120,2015-01-02,19:35
121,2015-01-02,19:38
122,2015-01-02,19:50
123,2015-01-02,20:12
124,2015-01-02,20:12
125,2015-01-02,20:31
126,2015-01-02,20:53
127,2015-01-02,20:58
128,2015-01-02,21:05
129,2015-01-02,21:13
130,2015-01-02,21:14
131,2015-01-02,21:33
132,2015-01-02,21:42
133,2015-01-02,22:00
134,2015-01-02,22:13
135,2015-01-02,22:29
136,2015-01-02,22:32
137,2015-01-03,11:34
138,2015-01-03,11:44
139,2015-01-03,11:57
140,2015-01-03,12:26
141,2015-01-03,13:16
142,2015-01-03,13:33
143,2015-01-03,13:41
144,2015-01-03,13:44
145,2015-01-03,13:53
146,2015-01-03,14:22
147,2015-01-03,14:32
148,2015-01-03,14:40
149,2015-01-03,14:48
150,2015-01-03,14:49
151,2015-01-03,15:09
152,2015-01-03,15:09
153,2015-01-03,15:16
154,2015-01-03,15:22
155,2015-01-03,15:28
156,2015-01-03,15:42
157,2015-01-03,15:43
158,2015-01-03,15:54
159,2015-01-03,15:59
160,2015-01-03,16:35
161,2015-01-03,16:43
162,2015-01-03,16:51
163,2015-01-03,16:54
164,2015-01-03,16:56
165,2015-01-03,16:57
166,2015-01-03,16:58
167,2015-01-03,17:00
168,2015-01-03,17:02
169,2015-01-03,17:15
170,2015-01-03,17:21
171,2015-01-03,17:23
172,2015-01-03,17:29
173,2015-01-03,17:35
174,2015-01-03,17:37
175,2015-01-03,17:50
176,2015-01-03,17:51
177,2015-01-03,17:54
178,2015-01-03,18:15
179,2015-01-03,18:20
180,2015-01-03,18:33
181,2015-01-03,18:49
182,2015-01-03,18:50
183,2015-01-03,18:54
184,2015-01-03,18:59
185,2015-01-03,19:08
186,2015-01-03,19:36
187,2015-01-03,19:37
188,2015-01-03,20:08
189,2015-01-03,20:12
190,2015-01-03,20:14
191,2015-01-03,20:24
192,2015-01-03,20:30
193,2015-01-03,20:55
194,2015-01-03,21:21
195,2015-01-03,21:25
196,2015-01-03,21:40
197,2015-01-03,21:47
198,2015-01-03,21:55
199,2015-01-03,22:10
200,2015-01-03,22:24
201,2015-01-03,22:29
202,2015-01-03,22:50
203,2015-01-04,11:30
204,2015-01-04,11:36
205,2015-01-04,11:43
206,2015-01-04,11:45
207,2015-01-04,12:03
208,2015-01-04,12:12
209,2015-01-04,12:29
210,2015-01-04,12:34
211,2015-01-04,12:54
212,2015-01-04,13:16
213,2015-01-04,13:20
214,2015-01-04,13:39
215,2015-01-04,13:44
216,2015-01-04,14:31
217,2015-01-04,14:35
218,2015-01-04,14:35
219,2015-01-04,14:42
220,2015-01-04,15:31
221,2015-01-04,15:33
222,2015-01-04,15:46
223,2015-01-04,16:08
224,2015-01-04,16:39
225,2015-01-04,16:41
226,2015-01-04,16:59
227,2015-01-04,17:24
228,2015-01-04,17:31
229,2015-01-04,17:37
230,2015-01-04,17:58
231,2015-01-04,18:04
232,2015-01-04,18:21
233,2015-01-04,18:26
234,2015-01-04,18:36
235,2015-01-04,18:51
236,2015-01-04,19:21
237,2015-01-04,19:27
238,2015-01-04,19:45
239,2015-01-04,19:57
240,2015-01-04,20:10
241,2015-01-04,20:11
242,2015-01-04,20:15
243,2015-01-04,20:26
244,2015-01-04,20:26
245,2015-01-04,20:28
246,2015-01-04,20:30
247,2015-01-04,20:55
248,2015-01-04,20:58
249,2015-01-04,21:06
250,2015-01-04,21:07
251,2015-01-04,21:10
252,2015-01-04,22:13
253,2015-01-04,22:16
254,2015-01-04,22:22
255,2015-01-05,11:23
256,2015-01-05,11:56
257,2015-01-05,11:59
258,2015-01-05,11:59
259,2015-01-05,12:04
260,2015-01-05,12:06
261,2015-01-05,12:38
262,2015-01-05,12:42
263,2015-01-05,12:57
264,2015-01-05,13:03
265,2015-01-05,13:04
266,2015-01-05,13:09
267,2015-01-05,13:37
268,2015-01-05,13:40
269,2015-01-05,13:49
270,2015-01-05,14:09
271,2015-01-05,14:22
272,2015-01-05,14:24
273,2015-01-05,14:28
274,2015-01-05,14:36
275,2015-01-05,14:38
276,2015-01-05,15:18
277,2015-01-05,15:41
278,2015-01-05,15:49
279,2015-01-05,16:07
280,2015-01-05,16:20
281,2015-01-05,16:33
282,2015-01-05,16:49
283,2015-01-05,16:51
284,2015-01-05,16:58
285,2015-01-05,16:58
286,2015-01-05,17:01
287,2015-01-05,17:30
288,2015-01-05,17:32
289,2015-01-05,17:36
290,2015-01-05,17:41
291,2015-01-05,17:44
292,2015-01-05,17:48
